name,Canonical_smiles
Salvianolic acid A,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=C(C(=C(C=C2)O)O)C=CC3=CC(=C(C=C3)O)O)O)O
Epicatechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
Fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
Abscisic acid,CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C
Luteolin,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
Epigallocatechin gallate,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
Colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
Apigenin,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
Anthocyanin,C1=CC=C(C=C1)C2=[O+]C3=CC=CC=C3C=C2
Resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
Curcumin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
Berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
14-alpha-lipoyl andrographolide,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)OC(=O)CCCCC4CCSS4)(C)CO)O
chondrillasterol,CCC(C=CC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C)C(C)C
mosloflavone,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O)OC
albocycline,CC1CCC=C(C(C=CC(C=CC(=O)OC1C)(C)O)OC)C
pyrrolomycin C,C1=C(C=C(C(=C1C(=O)C2=CC(=C(N2)Cl)Cl)O)Cl)Cl
pyrrolomycin D,C1=C(C=C(C(=C1C(=O)C2=C(C(=C(N2)Cl)Cl)Cl)O)Cl)Cl
Balsacone C,C1=CC=C(C=C1)CCC(=O)C2=C(C=C(C(=C2O)CC=CC3=CC=C(C=C3)O)O)O
Azalomycin,CCC1(CC(C2(CCC(C3(C2C(=O)CC3)C(C1O)C)C)C)OC(=O)CSC4=NNC(=N4)N)C
Kalimantacin A,CC(CC=CC=CCCC(=C)CC(C)CC(=CC(=O)O)C)CC(=O)CC(CNC(=O)C(C)C(C)OC(=O)N)O
Kalimantacin B,CC(CC=CC=CCCC(=C)CC(C)CC(=CC(=O)O)C)CC(=O)CC(CNC(=O)C(C)C(C)OC(=O)N)O
Kalimantacin C,CC(CC=CC=CCCC(=C)CC(C)CC(=CC(=O)O)C)CC(=O)CC(CNC(=O)CC(C)OC(=O)N)O
Amycomicin,CC=CC1(C(O1)C(CCCCC(=O)CCCCCCC(=O)O)O)[N+]#[C-]
Elaiophylin,CCC1C(OC(CC1OC2CC(C(C(O2)C)O)O)(C(C)C(C(C)C3C(C=CC=CC(=O)OC(C(C=CC=CC(=O)O3)C)C(C)C(C(C)C4(CC(C(C(O4)C)CC)OC5CC(C(C(O5)C)O)O)O)O)C)O)O)C
Blasticidin S,CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N
Baldrinal,CC(=O)OCC1=COC=C2C1=CC=C2C=O
11-Ethoxyviburtinal,CCOCC1=COC=C2C1=CC=C2C=O
Eriocalyxin B,CC1(C=CC(=O)C23C1C(C(C45C2CCC(C4)C(=C)C5=O)(OC3)O)O)C
Tripchlorolide,CC(C)C1(C(C2C3(O2)C4(CCC5=C(C4CC6C3(C1O)O6)COC5=O)C)Cl)O
pleuromutilin,CC1CCC23CCC(=O)C2C1(C(CC(C(C3C)O)(C)C=C)OC(=O)CO)C
Thiolactomycin,CC1=C(C(SC1=O)(C)C=C(C)C=C)O
Pyridomycin,CCC(=C1C(=O)OC(C(C(=O)NC(C(C(C(=O)O1)C)O)CC2=CN=CC=C2)NC(=O)C3=C(C=CC=N3)O)C)C
Griselimycin,CC1CC2C(=O)NC(C(=O)N(C(C(=O)N3CCCC3C(=O)N(C(C(=O)NCC(=O)OC(C(C(=O)NC(C(=O)N2C1)CC(C)C)N(C)C(=O)C4CC(CN4C(=O)C(C(C)C)N(C)C(=O)C)C)C)CC(C)C)C)C(C)C)C)CC(C)C
Kanglemycin A,CC1C(C=COC2(C(=O)C3=C(O2)C(=C(C4=C3C(=O)C=C(C4=O)NC(=O)C(=CC=CC(C(C(C(C(C1OC(=O)C)C)O)C)O)C(C)OC(=O)C(C)(C)CC(=O)O)C)O)C)C)OC5CC6C(C(O5)C)OCO6
Ecumicin,CCC(C)C(C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(N(C(=O)C(N(C(=O)C(NC(=O)C(N(C(=O)C(NC(=O)C(N(C1=O)C)C(C)O)C(C)C)C)CC(C)C)C(C)C)C)C(C)C)C)CC2=CNC3=C2C(=CC=C3)OC)C(C)C)C(C4=CC=CC=C4)O)C(C)C)C)N(C)C(=O)C(C(C)C)NC(=O)C(C(C)C)N(C)C
Cyclomarin A,CC1C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N1)CC(C)CO)C)C(C2=CN(C3=CC=CC=C32)C(C)(C)C4CO4)O)C(C)C=C(C)C)CC(C)C)C)C(C)C)C(C5=CC=CC=C5)OC
Manzamine A,C1CCN2CCC3C(=CC(CCC=CC1)(C4C3(C2)CC5N4CCCCC=C5)O)C6=NC=CC7=C6NC8=CC=CC=C78
Manzamine E,C1CCN2CCC3C(=CC(CCC=CC1)(C4C3(C2)CC5N4CCCC(=O)CC5)O)C6=NC=CC7=C6NC8=CC=CC=C78
Manzamine F,C1CCN2CCC3C(=CC(CCC=CC1)(C4C3(C2)CC5N4CCCC(=O)CC5)O)C6=NC=CC7=C6NC8=C7C=CC=C8O
Clorobiocin,CC1=CC=C(N1)C(=O)OC2C(C(OC(C2OC)(C)C)OC3=C(C4=C(C=C3)C(=C(C(=O)O4)NC(=O)C5=CC(=C(C=C5)O)CC=C(C)C)O)Cl)O
Agelasine D,CC(=CCN1C=[N+](C2=NC=NC(=C21)N)C)CCC3C(=C)CCC4C3(CCCC4(C)C)C
Melophlin A,CCCCCCCCCCCCCCCC(=C1C(=O)CN(C1=O)C)O
Altholactone,C1=CC=C(C=C1)C2C(C3C(O2)C=CC(=O)O3)O
garcinone D,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CCC(C)(C)O)O)C
garcinone E,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C(=C(C(=C3C2=O)CC=C(C)C)O)O)CC=C(C)C)O)C
Kadsuphilactone B,CC1=CCC(OC1=O)C(C)(C2CCC3(C2(CCC45C3CCC6C4(C5)C=CC(=O)OC6(C)C)C)C)O
Cucurbitacin-A,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)CO)C)C)O)O
Grifolin,CC1=CC(=C(C(=C1)O)CC=C(C)CCC=C(C)CCC=C(C)C)O
Sideroxylin,CC1=C(C2=C(C(=C1OC)C)OC(=CC2=O)C3=CC=C(C=C3)O)O
tolserine,CC1=CC=CC=C1NC(=O)OC2=CC3=C(C=C2)N(C4C3(CCN4C)C)C
eseroline,CC12CCN(C1N(C3=C2C=C(C=C3)O)C)C
phenserine,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC4=CC=CC=C4)C)C
Magnoflorine,C[N+]1(CCC2=CC(=C(C3=C2C1CC4=C3C(=C(C=C4)OC)O)O)OC)C
loganin,CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)O
Hyperoside,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O
Demethyleneberberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)O)O)OC
Columbamine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC
Coptisine,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6
Jatrorrhizine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)O)OC)OC
Thalifendine,COC1=C(C=CC2=CC3=[N+](CCC4=CC5=C(C=C43)OCO5)C=C21)O
Calycosin,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O
Formononetin,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
soyasaponin I,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O
