,0
0,730
1,147
2,3095
3,2259
4,2126
5,319
6,3197
7,753
8,554
9,2127
10,3096
11,219
12,2740
13,833
14,277
15,577
16,322
17,431
18,2152
19,195
20,2033
21,922
22,2028
23,680
24,684
25,1248
26,828
27,2491
28,633
29,857
30,517
31,1026
32,787
33,2081
34,310
35,237
36,2376
37,970
38,597
39,384
40,779
41,1050
42,718
43,965
44,1224
45,894
46,1149
47,1785
48,1492
49,334
50,225
51,325
52,564
53,3135
54,1502
55,2434
56,936
57,2241
58,884
59,475
60,1390
61,1571
62,939
63,604
64,3046
65,2453
66,272
67,726
68,3217
69,186
70,3163
71,2503
72,875
73,145
74,1451
75,2767
76,2388
77,2409
78,1452
79,181
80,1595
81,2019
82,688
83,744
84,246
85,465
86,2509
87,648
88,1031
89,1138
90,582
91,1389
92,2573
93,733
94,2751
95,2175
96,1732
97,606
98,815
99,3205
100,214
101,2580
102,888
103,1653
104,825
105,2778
106,1009
107,426
108,64
109,279
110,2299
111,1527
112,1847
113,1783
114,912
115,2201
116,3037
117,1615
118,73
119,2952
120,83
121,439
122,800
123,1460
124,1848
125,7
126,197
127,3143
128,1042
129,2677
130,3008
131,2727
132,2080
133,3209
134,226
135,3014
136,2755
137,1427
138,982
139,2415
140,48
141,2798
142,905
143,1972
144,2008
145,3194
146,878
147,1597
148,563
149,838
150,2087
151,569
152,3128
153,2723
154,149
155,2038
156,2784
157,1188
158,1212
159,2919
160,764
161,1904
162,777
163,1469
164,1767
165,1407
166,533
167,2083
168,1765
169,1307
170,1108
171,2051
172,1898
173,345
174,687
175,2104
176,996
177,1421
178,707
179,842
180,1768
181,957
182,2913
183,41
184,1742
185,396
186,3016
187,1976
188,308
189,994
190,2387
191,1444
192,3060
193,799
194,336
195,187
196,3066
197,998
198,508
199,2146
200,937
201,294
202,915
203,1135
204,830
205,1750
206,1255
207,1625
208,909
209,258
210,507
211,727
212,1485
213,2779
214,883
215,811
216,370
217,433
218,2636
219,2252
220,1521
221,1037
222,3121
223,1128
224,1173
225,3021
226,1740
227,2393
228,2620
229,670
230,1023
231,1616
232,2258
233,2089
234,2370
235,2860
236,1420
237,2739
238,717
239,3185
240,2579
241,661
242,12
243,2225
244,1605
245,404
246,1279
247,594
248,634
249,485
250,76
251,317
252,213
253,987
254,1793
255,502
256,379
257,913
258,2689
259,2781
260,1085
261,377
262,1463
263,1439
264,2458
265,2877
266,2835
267,201
268,528
269,43
270,2734
271,56
272,1446
273,2178
274,1948
275,845
276,2754
277,2527
278,2720
